fecha,red,tipo,descripcion,likes,comentarios,guardados,reproducciones
2025-11-01,instagram,reel,"set en Club X",120,15,10,1500
2025-11-02,instagram,post,"flyer nuevo evento",80,5,3,0
2025-11-03,tiktok,video,"transición nueva",200,30,25,3000
2025-11-04,instagram,story,"backstage cabina",50,8,5,500
2025-11-05,youtube,short,"clip set en vivo",160,20,12,2500
2025-11-06,tiktok,video,"challenge con remix",300,40,35,5000
2025-11-07,instagram,reel,"recap noche en Club Y",180,22,18,2200
2025-11-08,instagram,post,"anuncio academia DJs",90,10,7,0
2025-11-09,tiktok,video,"mezcla rápida house",220,28,20,3500
2025-11-10,youtube,video,"set completo 1h",140,18,10,4000
